wavelength,spectrum,spectrum_dusty
91.0,3.340347407857103e-05,3.622750875498128e-56
94.0,3.155621403648854e-05,3.395201448619285e-56
96.0,3.843329946432281e-05,3.255208333333333e-56
98.0,4.908103557744768e-05,3.123698458975427e-56
100.0,5.046628979861248e-05,3e-56
102.0,3.0868230098754717e-05,2.883506343713956e-56
104.0,4.34986163593152e-05,2.7736686390532544e-56
106.0,5.0197739007892615e-05,2.6699893200427198e-56
108.0,4.6760416854430375e-05,2.5720164609053495e-56
110.0,5.616869812974497e-05,2.4793388429752065e-56
114.0,3.6207658675133954e-05,2.3084025854108955e-56
118.0,4.820051059594716e-05,2.1545532892846884e-56
121.0,5.5094563597247354e-05,2.0490403660952124e-56
125.0,5.449643784399224e-05,1.92e-56
127.0,4.946557125939651e-05,1.86000372000744e-56
128.0,4.5504573368336727e-05,1.8310546875e-56
131.0,4.5462884225522405e-05,1.7481498747159257e-56
132.0,4.805769634258261e-05,1.721763085399449e-56
134.0,4.995722078331535e-05,1.6707507239919802e-56
137.0,4.8088060248381246e-05,1.598380307954606e-56
140.0,4.969161876270738e-05,1.530612244897959e-56
143.0,4.783099020466285e-05,1.4670644041273413e-56
147.0,3.500042807804292e-05,1.3883104262113007e-56
151.0,3.9999997700836065e-05,1.3157317661506075e-56
155.0,3.894110240101769e-05,1.2486992715920916e-56
159.0,3.912265951654887e-05,1.1866619200189866e-56
162.0,3.571418613558747e-05,1.1431184270690445e-56
166.0,3.8322721127044224e-05,1.0886921178690666e-56
170.0,3.654043851694081e-05,1.0380622837370242e-56
173.0,3.5341688554813494e-05,1.0023722810651876e-56
177.0,3.234252038810387e-05,9.575792396820837e-57
180.0,3.375531100097694e-05,9.25925925925926e-57
182.0,3.485120076496473e-05,9.05687718874532e-57
186.0,3.0543505403423046e-05,8.671522719389525e-57
191.0,2.9968708193904576e-05,8.223458786765714e-57
194.0,3.253790512365562e-05,7.971091508130514e-57
198.0,3.1403703445054706e-05,7.652280379553106e-57
202.0,2.689843333558788e-05,7.352220370551906e-57
205.0,2.7452766739353416e-05,7.138607971445569e-57
210.0,2.7619481625369135e-05,6.802721088435374e-57
216.0,2.6633651684320772e-05,6.430041152263374e-57
220.0,2.1324078485456152e-05,6.198347107438016e-57
223.0,2.3731377125396887e-05,6.032697218926582e-57
227.0,2.3991871907365637e-05,5.8219643307652e-57
230.0,2.4176443906546053e-05,5.671077504725898e-57
234.0,2.5040105937482284e-05,5.478851632697787e-57
240.0,2.421115783387623e-05,5.208333333333333e-57
246.0,2.3926531182673348e-05,4.9573666468372e-57
252.0,2.3220109132461407e-05,4.72411186696901e-57
257.0,2.1955015059569547e-05,4.5420823933746154e-57
260.0,2.1786851103347065e-05,4.4378698224852073e-57
264.0,2.144197136173734e-05,4.3044077134986226e-57
269.0,2.0313315754776092e-05,4.145879686571495e-57
274.0,1.9664991234386645e-05,3.995950769886515e-57
279.0,1.873995089375505e-05,3.8540100975064557e-57
284.0,1.804895129022953e-05,3.719500099186669e-57
290.0,1.7590922669404258e-05,3.56718192627824e-57
296.0,1.6416668203076333e-05,3.4240321402483566e-57
301.0,1.590378261160342e-05,3.311221730444476e-57
308.0,1.4846699439002916e-05,7.448560633834971e-55
318.0,1.3969966502598596e-05,1.2574908772803907e-49
328.0,1.2969648513013048e-05,4.333819358580646e-45
338.0,1.1570413672071439e-05,3.774845822905463e-41
348.0,1.1139610267703547e-05,1.1377933654220736e-37
357.0,1.0276231168125853e-05,6.369157663685521e-35
366.0,9.746437443331158e-06,1.8445786887733764e-32
375.0,9.093917299766355e-06,2.8823431817040765e-30
385.0,8.451804782718317e-06,4.283847832938232e-28
