filter_name,filter_num,peak_wavelength
f_F160W,205,15396.0
f_U,103,3749.5
f_F435W,1,4317.9
f_F606Wcand,236,5921.1
f_F606W,4,5919.4
f_R,260,6442.7
f_F775W,5,7693.3
f_F814Wcand,239,8057.0
f_F850LP,7,9036.4
f_F850LPcand,240,9033.1
f_F125W,203,12471.0
f_J,34,12356.0
f_F140W,204,13924.0
f_H,36,16496.0
f_Ks,37,21667.0
f_IRAC1,18,35569.0
f_IRAC2,19,45020.0
f_IRAC3,20,57450.0
f_IRAC4,21,79158.0
f_U38,107,3686.5
f_B,46,4591.0
f_V,50,5372.4
f_Rc,54,6499.2
f_I,58,8637.2
f_IA427,181,4260.0
f_IA445,182,4442.7
f_IA505,185,5060.8
f_IA527,186,5259.3
f_IA550,187,5495.0
f_IA574,188,5762.9
f_IA598,189,6007.1
f_IA624,190,6230.8
f_IA651,191,6498.4
f_IA679,192,6781.6
f_IA738,194,7359.5
f_IA767,195,7680.4
f_IA797,196,7966.2
f_IA856,198,8564.8
f_tenisJ,220,12530.0
f_tenisK,222,21574.0
