filter_name,filter_num,peak_wavelength
f_IRAC_80,21,79158.0
f_IRAC_58,20,57450.0
f_IRAC_45,19,45020.0
f_IRAC_36,18,35569.0
f_KsHI,269,21524.0
f_Ks,255,21538.0
f_J1,249,10540.0
f_J2,250,11448.0
f_J3,251,12802.0
f_Hs,254,15544.0
f_Hl,253,17020.0
f_u,88,3828.0
f_B,122,4407.8
f_V,79,5470.2
f_R,123,6508.3
f_i,124,7655.5
f_z,125,9060.2
f_J,263,12502.0
f_H,264,16360.0
f_K,265,22060.0
f_F125W,203,12471.0
f_F160W,205,15396.0
f_F140W,204,13924.0
f_F606W,214,5892.5
f_F814W,239,8057.0
f_Ksall,33,21666.0
f_Y,266,10207.0
