filter_name,filter_num,peak_wavelength
f_IRAC_80,21,79158.0
f_IRAC_58,20,57450.0
f_IRAC_45,19,45020.0
f_IRAC_36,18,35569.0
f_Ks,255,21538.0
f_KsHI,269,21524.0
f_J1,249,10540.0
f_J2,250,11448.0
f_J3,251,12802.0
f_Hs,254,15544.0
f_Hl,253,17020.0
f_U,103,3749.5
f_B,1,4317.9
f_V,4,5919.4
f_R,260,6442.7
f_I,5,7693.3
f_Z,7,9036.4
f_F125W,203,12471.0
f_F140W,204,13924.0
f_F160W,205,15396.0
f_F098M,201,9866.8
f_F105W,202,10545.0
f_F814W,239,8057.0
f_IA484,184,4847.3
f_IA527,186,5259.3
f_IA574,188,5762.9
f_IA598,189,6007.1
f_IA624,190,6230.8
f_IA651,191,6498.4
f_IA679,192,6781.6
f_IA738,194,7359.5
f_IA767,195,7680.4
f_IA797,196,7966.2
f_IA856,198,8564.8
f_WFI_V,291,5375.8
f_WFI_Rc,292,6493.8
f_WFI_U38,107,3686.5
f_tenisK,222,21574.0
f_Ksall,33,21666.0
